CCD NAME	STATE	GHCND ID	GHCND NAME	Latitude	Longitude	Jan_wnd	Feb_wnd	Mar_wnd	Apr_wnd	May_wnd	Jun_wnd	Jul_wnd	Aug_wnd	Sep_wnd	Oct_wnd	Nov_wnd	Dec_wnd	Jan_rhmin	Feb_rhmin	Mar_rhmin	Apr_rhmin	May_rhmin	Jun_rhmin	Jul_rhmin	Aug_rhmin	Sep_rhmin	Oct_rhmin	Nov_rhmin	Dec_rhmin
COLD BAY	AK	USW00025624	COLD BAY AP	55.2208	-162.7325	16.4	17.3	16.3	16.1	15.6	15	14.6	15.1	15.8	16.1	17.2	17.3	83	82	78	77	76	78	82	83	79	77	81	83
FAIRBANKS	AK	USW00026411	FAIRBANKS INTL AP	64.8039	-147.8761	2.5	3	4.6	5.8	6.4	5.8	5.3	5.1	4.9	4	2.8	2.3	73	67	53	45	37	44	51	56	56	68	75	75
GULKANA	AK	USW00026425	GULKANA AP	62.1592	-145.4589	3.1	3.9	5.7	6.9	7.9	7.6	7.1	7.1	7	4.9	3.4	3.3	74	69	53	46	40	43	50	52	54	67	78	77
HOMER	AK	USW00025507	HOMER AP	59.6419	-151.4908	7	7	7.3	7.5	7.4	7.2	6.5	6.2	6.5	6.6	6.9	7.3	76	71	66	64	64	67	72	72	70	69	74	77
JUNEAU	AK	USW00025309	JUNEAU INTL AP	58.3567	-134.5639	7.3	7.3	7.7	7.7	7.5	6.9	6.6	6.9	7.7	8.2	7.6	7.8	80	76	67	63	61	65	72	74	79	80	82	84
KING SALMON	AK	USW00025503	KING SALMON	58.6794	-156.6294	10.1	10.6	10.3	10.2	9.9	9.1	8.7	8.9	9.4	9.5	9.6	9.7	77	72	66	61	56	59	65	68	67	69	78	78
KODIAK	AK	USW00025501	KODIAK AP	57.7511	-152.4856	12.1	12.1	12.3	11.7	10.4	9.4	7.9	8.5	9.6	11	12.1	12.4	76	74	68	69	72	76	77	74	73	69	72	75
KOTZEBUE	AK	USW00026616	KOTZEBUE RALPH WEIN AP	66.8667	-162.6333	11.9	12.5	10.4	10.6	10.2	10.6	11.4	12	12.2	13	13.3	12.6	74	74	72	76	79	78	77	77	73	77	78	76
MCGRATH	AK	USW00026510	MCGRATH AP	62.9575	-155.6103	2.8	3.6	4.9	5.6	6	5.3	4.9	4.9	4.9	4.5	3.3	2.6	73	66	53	49	44	48	57	62	62	71	76	76
NOME	AK	USW00026617	NOME MUNI AP	64.5111	-165.44	9.2	10.2	8.5	8.8	8.9	8.8	9	9.5	9.9	9.4	10.3	10.1	75	73	71	74	74	74	79	79	72	72	76	76
ST. PAUL ISLAND	AK	USW00025713	ST PAUL ISLAND AP	57.1553	-170.2222	18.4	18.5	17	15.9	13.9	12.4	11.3	12.4	14.6	16.3	17.9	17.8	83	85	82	82	82	84	90	90	84	79	80	82
TALKEETNA	AK	USW00026528	TALKEETNA AP	62.32	-150.095	5.3	5	5.2	4.4	4.7	4.6	4.2	3.4	3.4	3.7	4.8	4.9	68	63	54	50	48	53	61	65	64	66	70	72
VALDEZ	AK	USW00026442	VALDEZ WSO	61.1303	-146.3517	6.9	6.8	6.8	5.1	5.6	5.9	4.8	4.2	4.4	6.1	7.7	6.8	72	70	64	61	62	65	72	72	73	70	71	74
YAKUTAT	AK	USW00025339	YAKUTAT STATE AP	59.5119	-139.6711	5.8	5.6	5.9	5.5	5.8	5.3	5	4.9	5.5	5.8	5.8	6.2	83	77	69	69	70	73	78	78	78	77	81	86
FLAGSTAFF	AZ	USW00003103	FLAGSTAFF PULLIAM AP	35.1442	-111.6664	6	6.5	6.8	7.8	7.5	7	5.1	4.3	5	5.6	6.1	6	52	46	40	31	27	20	39	45	38	37	45	52
PHOENIX	AZ	USW00023183	PHOENIX SKY HARBOR INTL AP	33.4278	-112.0039	5	5.6	6.3	7.1	7.1	6.9	7.3	6.8	6.2	5.5	4.9	4.6	33	28	23	16	13	12	21	24	22	23	27	34
TUCSON	AZ	USW00023160	TUCSON INTL AP	32.1314	-110.9553	7.2	7.4	7.9	8.3	8.3	8.2	7.9	7.5	7.8	7.5	7.3	6.9	31	26	21	15	12	13	29	32	27	24	27	34
WINSLOW	AZ	USW00023194	WINSLOW MUNI AP	35.0281	-110.7208	6.2	7.6	8.7	10.6	10.1	9.7	8.4	7.4	7.1	7	6.4	6.2	46	33	24	19	16	13	26	30	26	27	33	46
FORT SMITH	AR	USW00013964	FT SMITH RGNL AP	35.3331	-94.3625	7.7	8.1	8.6	8.3	7	6.1	5.6	5.7	6	6.4	7.3	7.5	61	58	53	51	57	57	54	53	54	52	55	61
LITTLE ROCK	AR	USW00013963	LITTLE ROCK AP ADAMS FLD	34.7272	-92.2389	7.7	8.1	8.6	8.3	7.1	6.3	6	5.7	5.9	6.1	7.1	7.3	61	58	56	55	58	56	56	55	55	53	57	61
BAKERSFIELD	CA	USW00023155	BAKERSFIELD AP	35.4344	-119.0542	4.9	5.7	6.2	7.2	7.7	7.8	7.5	6.9	6.4	5.7	4.9	4.9	60	50	41	33	26	22	21	23	27	34	49	60
BISHOP	CA	USW00023157	BISHOP AP	37.3711	-118.3581	7	8	9.4	10.1	9.1	8.3	8	7.8	7.5	7.6	7.2	7	35	29	20	17	17	13	15	14	15	20	27	35
BLUE CANYON	CA	USW00023225	BLUE CANYON AP	39.2775	-120.7103	5.5	6.1	6.3	5.7	5.3	5.1	4.4	4.5	5.1	5.1	5.4	6.1	60	64	63	57	49	39	33	31	36	50	60	64
FRESNO	CA	USW00093193	FRESNO YOSEMITE INTL AP	36.78	-119.7194	4.1	5	5.9	7.4	8.3	8.4	7.6	6.9	6	4.7	3.9	4	67	55	45	35	27	23	21	22	26	34	53	67
LONG BEACH	CA	USW00023129	LONG BEACH DAUGHERTY FLD	33.8117	-118.1464	4.5	5.4	6	6.5	6.6	6.4	6.3	6.1	5.6	5	4.4	4.4	54	55	55	52	55	57	54	54	55	55	54	54
LOS ANGELES	CA	USW00093134	LOS ANGELES DWTN USC CAMPUS	34.0511	-118.2353	1.4	1.8	2.1	2.4	2.2	2.2	2.2	2	1.8	1.5	1.4	1.4	49	52	53	52	57	60	59	57	56	56	51	51
REDDING	CA	USW00024257	REDDING MUNI AP	40.5175	-122.2986	5.4	6.6	6.9	6.7	6.8	7	6	5.4	5.5	5.6	5.1	5.8	60	50	46	38	31	24	18	18	21	32	53	60
SACRAMENTO	CA	USW00023232	SACRAMENTO EXECUTIVE AP	38.5069	-121.495	5	5.9	6.7	7.1	7.7	8	7.6	7.1	5.8	5.2	4.5	5.2	69	59	52	44	37	32	29	30	31	39	57	69
SAN DIEGO	CA	USW00023188	SAN DIEGO LINDBERGH FLD	32.7336	-117.1831	5.2	6.2	6.7	7.3	7.4	7.3	7	6.9	6.7	5.8	5.2	5	58	59	60	60	64	67	67	67	66	64	60	59
SAN FRANCISCO	CA	USW00023272	SAN FRANCISCO DWTN	37.7706	-122.4269	6.8	8.6	10.4	12.6	13.9	13.9	13.1	12.3	11	9.1	7.5	7.2	66	70	71	68	72	64	71	71	62	66	67	73
SANTA BARBARA	CA	USW00023190	SANTA BARBARA MUNI AP	34.4258	-119.8425	4.3	5.5	6.2	6.7	6.7	6.2	6	5.7	5.2	4.8	4.4	4.3	58	59	60	61	62	65	66	66	65	64	59	61
SANTA MARIA	CA	USW00023273	SANTA MARIA PUBLIC AP	34.8994	-120.4486	6.3	7.2	8.1	9.1	9.2	8.5	7.1	6.8	6.6	6.6	6.4	6.2	63	64	64	62	63	64	64	66	65	64	63	61
STOCKTON	CA	USW00023237	STOCKTON METRO AP	37.8892	-121.2258	6	7.2	7.9	8.9	9.8	9.8	8.7	8.1	7.3	6.4	5.8	6.6	70	59	50	41	34	29	27	29	31	38	58	70
ALAMOSA	CO	USW00023061	ALAMOSA SAN LUIS AP	37.4389	-105.8614	5.2	6.8	8.6	10.3	9.9	8.9	6.9	6.3	6.7	6.8	6.3	5.3	58	49	35	29	28	25	37	39	34	36	47	58
COLORADO SPRINGS	CO	USW00093037	COLORADO SPRINGS MUNI AP	38.81	-104.6883	8.8	9.5	10.5	11.5	10.6	9.9	8.9	8.5	9	9.3	8.9	8.8	47	42	38	36	38	34	40	42	37	38	45	48
DENVER	CO	USW00023062	DENVER-STAPLETON	39.7633	-104.8694	7.8	7.8	8.9	9.2	9	8.3	7.9	7.5	7.4	7.2	7.6	7.1	54	50	39	41	43	37	35	37	37	44	50	55
GRAND JUNCTION	CO	USW00023066	GRAND JUNCTION WALKER FLD	39.1342	-108.54	5.3	6.4	8	8.9	9.1	9.4	9.2	8.7	8.4	7.4	6.1	5.3	64	50	35	27	24	18	21	24	26	34	48	62
PUEBLO	CO	USW00093058	PUEBLO MEM AP	38.29	-104.4983	7.2	8	9.2	10.4	9.6	9.2	8.6	7.9	7.8	7.6	7.2	6.9	48	40	33	30	32	28	32	35	32	34	44	49
BRIDGEPORT	CT	USW00094702	BRIDGEPORT SIKORSKY MEM AP	41.1583	-73.1289	10.2	10.4	10.9	10.3	9.4	8.7	8.2	8.3	9.2	9.6	9.9	9.9	60	58	56	54	59	60	59	60	60	58	59	61
HARTFORD	CT	USW00014740	HARTFORD BRADLEY INTL AP	41.9381	-72.6825	8.3	8.8	9.4	9	8	7.2	6.7	6.3	6.7	7.3	7.9	8	57	54	50	45	48	52	51	53	54	53	55	59
WILMINGTON	DE	USW00013781	WILMINGTON NEW CASTLE CO AP	39.6728	-75.6008	9.2	9.7	10.3	9.9	8.4	7.8	7.4	7	7.4	7.7	8.5	8.7	59	56	52	50	54	54	54	56	56	55	56	59
WASHINGTON DULLES	DC	USW00093738	WASHINGTON DC DULLES AP	38.9408	-77.4636	7.8	8.1	8.5	8.1	6.8	6.3	5.8	5.6	6	6.3	7	7	56	53	50	48	54	54	54	54	55	53	53	57
WASHINGTON NAT'L	DC	USW00013743	WASHINGTON REAGAN AP	38.8483	-77.0342	9.5	9.7	10.5	9.9	8.9	8.6	8.1	7.8	8.3	8.4	8.8	8.9	55	52	49	48	52	53	53	54	55	54	53	56
DAYTONA BEACH	FL	USW00012834	DAYTONA BEACH INTL AP	29.1828	-81.0483	7.3	7.5	8.1	7.8	7.5	6.3	5.7	5.7	6.6	7.5	7.2	6.7	58	56	54	53	56	63	64	66	67	62	60	60
FORT MYERS	FL	USW00012835	FT MYERS PAGE FLD AP	26.585	-81.8614	7.5	7.6	8.3	8	7.3	6.2	5.4	5.8	6.4	7.5	7.5	6.9	55	53	50	47	49	58	61	61	62	57	55	57
GAINESVILLE	FL	USW00012816	GAINESVILLE RGNL AP	29.6919	-82.2756	6.5	6.9	7.2	6.9	6.5	5.6	5	5	5.5	5.8	5.9	5.8	56	53	50	48	48	58	61	63	62	57	57	58
JACKSONVILLE	FL	USW00013889	JACKSONVILLE	30.4844	-81.7019	7	7.3	7.9	7.5	7	6.3	5.9	5.7	6.2	6.4	6.4	6.3	57	54	50	48	51	58	59	61	63	59	57	59
KEY WEST	FL	USW00012836	KEY WEST INTL AP	24.555	-81.7522	10.8	10.6	11.1	11	10	9.1	8.6	8.5	8.7	10.3	11.1	10.6	69	68	66	64	66	69	67	67	70	69	69	70
MIAMI	FL	USW00012839	MIAMI INTL AP	25.7906	-80.3164	8.6	8.8	9.7	9.7	9	7.6	7.3	7.1	7.3	8.6	8.8	8.3	59	57	55	55	58	65	63	64	66	63	61	60
ORLANDO	FL	USW00012815	ORLANDO INTL AP	28.4339	-81.325	8.2	8.4	9	8.7	8	6.9	6.3	6.3	6.9	7.8	8.1	7.7	55	53	50	47	49	58	59	61	61	57	56	57
PENSACOLA	FL	USW00013899	PENSACOLA RGNL AP	30.4781	-87.1869	8.6	8.9	9.3	9.1	8.4	7.4	6.6	6.4	7	7.4	7.9	8.1	61	59	58	57	58	60	64	64	61	55	57	62
TALLAHASSEE	FL	USW00093805	TALLAHASSEE	30.3975	-84.3289	5.8	6.1	6.4	6.2	5.8	5	4.4	4.5	5.4	5.4	5.4	5.4	56	53	49	47	48	55	61	61	58	52	53	57
TAMPA	FL	USW00012842	TAMPA INTL AP	27.9619	-82.5403	7.2	7.4	8	7.8	7.2	6.6	5.7	5.6	6.2	6.7	7	6.7	58	56	54	51	52	60	63	64	62	57	56	59
VERO BEACH	FL	USW00012843	VERO BEACH INTL AP	27.6531	-80.2428	8.4	8.7	9.5	9.4	8.9	7.6	6.8	6.6	7.1	8.5	8.6	7.9	59	57	55	55	59	65	66	66	67	63	61	61
WEST PALM BEACH	FL	USW00012844	WEST PALM BEACH INTL AP	26.6847	-80.0994	9.9	10	11	10.7	10	8.3	7.7	7.7	8.3	9.9	10.3	9.6	59	57	55	55	59	65	64	64	66	62	60	60
ATHENS	GA	USW00013873	ATHENS BEN EPPS AP	33.9481	-83.3275	7.1	7.3	7.3	6.6	5.7	5.2	5	4.8	5.4	5.5	6	6.5	56	53	51	49	53	55	57	58	58	53	53	57
ATLANTA	GA	USW00013874	ATLANTA HARTSFIELD INTL AP	33.63	-84.4417	9.3	9.6	9.6	9	8	7.4	7.1	6.8	7.6	7.8	8.3	8.8	58	55	52	49	52	55	58	58	57	53	54	59
AUGUSTA	GA	USW00003820	AUGUSTA BUSH FLD AP	33.3644	-81.9633	6.1	6.5	6.9	6.5	5.7	5.1	5	4.3	4.7	4.7	5	5.4	53	50	48	46	48	52	54	56	55	50	49	53
COLUMBUS	GA	USW00093842	COLUMBUS METRO AP	32.5161	-84.9422	6.6	6.8	7.1	6.6	6.1	5.6	5.5	5.2	5.8	5.7	5.8	6	57	54	50	47	49	52	56	55	55	51	52	57
MACON	GA	USW00003813	MACON MIDDLE GA RGNL AP	32.6847	-83.6528	6.6	6.9	7	6.5	6	5.5	5.2	4.9	5.3	5.4	5.6	6	55	52	50	47	48	52	55	55	55	50	50	55
SAVANNAH	GA	USW00003822	SAVANNAH INTL AP	32.13	-81.21	7.3	7.7	8.2	7.7	7	6.5	6.2	5.9	6.6	6.5	6.4	6.6	54	51	49	47	51	55	57	60	60	54	52	55
HILO	HI	USW00021504	HILO INTL AP	19.7192	-155.0531	6.8	7.2	7.2	7.1	6.9	6.6	6.5	6.5	6.5	6.3	6.4	6.6	66	65	66	67	67	66	67	69	67	69	71	69
HONOLULU	HI	USW00022521	HONOLULU INTL AP	21.3239	-157.9294	8.4	9.1	10.1	11	10.5	11.9	11.9	11.7	10.1	9.6	9.7	9.3	61	59	58	56	54	53	53	52	54	57	59	61
KAHULUI	HI	USW00022516	KAHULUI AP	20.8997	-156.4286	10.6	11.2	12.3	13.4	12.9	15.3	15.3	14.9	13	12	11.8	11	61	60	60	59	57	56	56	56	56	58	61	62
LIHUE	HI	USW00022536	LIHUE WSO AP 1020.1	21.9839	-159.3405	11.8	12.3	13.4	14.5	13.2	14.4	14.7	14	12.7	12.5	13.3	12.7	66	66	66	67	66	66	66	66	65	67	69	68
BOISE	ID	USW00024131	BOISE AIR TERMINAL	43.5667	-116.2406	6.5	7.6	8.8	8.8	8.4	8.2	7.5	7.3	7.1	7	7.1	7	70	58	43	36	33	28	20	22	28	38	59	70
LEWISTON	ID	USW00024149	LEWISTON NEZ PERCE CO AP	46.3747	-117.0156	6.4	5.8	6.3	6.4	5.9	6	5.8	5.5	4.9	4.9	5.7	6	72	62	50	42	40	36	24	24	31	50	69	74
POCATELLO	ID	USW00024156	POCATELLO RGNL AP	42.9203	-112.5711	9.2	9.7	10.7	11.5	10.3	9.7	8.6	8.4	8.4	9.3	9.8	9.1	73	65	51	39	36	31	23	22	28	40	61	74
CHICAGO	IL	USW00094846	CHICAGO OHARE INTL AP	41.995	-87.9336	11.2	10.9	11.1	11.2	10	8.9	8.2	7.8	8.4	9.7	10.7	10.4	68	65	60	54	54	55	55	57	56	57	63	70
MOLINE	IL	USW00014923	MOLINE QUAD CITY INTL AP	41.4653	-90.5233	9.7	9.4	10.3	10.5	8.8	7.5	6.5	6.1	6.7	8.2	9.3	9.1	68	65	59	53	53	55	57	59	55	54	62	69
PEORIA	IL	USW00014842	PEORIA GTR PEORIA AP	40.6675	-89.6839	9.5	9.3	10	10	8.4	7.4	6.4	6	6.6	8	9.2	8.9	70	66	60	54	56	57	58	60	56	56	64	71
ROCKFORD	IL	USW00094822	ROCKFORD GTR ROCKFORD AP	42.1928	-89.0931	10	10	10.8	11.1	9.7	8.2	7.3	6.8	7.5	9	10	9.7	71	67	61	53	54	55	56	58	56	56	65	72
SPRINGFIELD	IL	USW00093822	SPRINGFIELD CAPITAL AP	39.8447	-89.6839	11	10.7	11.3	11.4	9.5	7.8	6.7	6.4	7.2	8.9	10.7	10.4	69	67	61	55	54	55	58	59	53	54	63	70
EVANSVILLE	IN	USW00093817	EVANSVILLE REGIONAL AP	38.0442	-87.5206	8.3	8.2	8.3	8.2	6.9	6.2	5.4	5	5.3	6.2	7.3	7.6	67	64	59	54	55	55	57	56	54	53	60	68
FORT WAYNE	IN	USW00014827	FT WAYNE INTL AP	40.9706	-85.2064	11.1	10.5	10.6	10.8	9.4	8	7	6.2	6.9	8.6	10	10.3	72	69	62	55	54	54	55	57	55	56	66	74
INDIANAPOLIS	IN	USW00093819	INDIANAPOLIS	39.7075	-86.2803	10.9	10.8	11.1	11.1	9.5	8.5	7.6	7.2	7.8	9	10.2	10.3	70	66	59	55	56	56	58	58	55	55	63	71
SOUTH BEND	IN	USW00014848	SOUTH BEND MICHIANA RGNL AP	41.7072	-86.3164	10.9	10.3	10.4	10.5	9.1	8	7.2	6.7	7.3	8.7	9.9	10.2	73	69	61	54	54	55	56	58	56	58	66	74
DES MOINES	IA	USW00014933	DES MOINES INTL AP	41.5339	-93.6531	10.6	10.4	11.1	11.4	10.1	9.1	8.3	7.8	8.7	9.7	10.5	10.2	68	66	60	54	55	57	58	59	57	55	62	70
DUBUQUE	IA	USW00094908	DUBUQUE RGNL AP	42.3978	-90.7036	11.4	11.4	11.8	12.3	10.6	9.1	7.9	7.6	8.6	10.3	11.3	10.9	71	68	63	56	57	60	61	62	60	58	65	73
SIOUX CITY	IA	USW00014943	SIOUX CITY GATEWAY AP	42.3914	-96.3792	11.1	11.1	11.7	12.5	11.4	9.8	8.2	8	9.1	10	10.8	10.8	69	67	62	52	53	56	59	61	56	54	62	70
WATERLOO	IA	USW00094910	WATERLOO MUNI AP	42.5544	-92.4011	10.6	10.7	11.3	11.9	10.4	8.9	7.7	7.2	8.3	9.6	10.5	10.2	71	69	63	55	55	56	59	60	57	57	65	73
CONCORDIA	KS	USW00013984	CONCORDIA MUNI AP	39.5514	-97.6508	10.9	11.1	12.5	12.8	11.3	11.1	10.1	9.6	10.5	10.8	11.3	10.6	63	61	55	54	57	54	52	55	54	52	59	64
DODGE CITY	KS	USW00013985	DODGE CITY	37.7608	-99.9683	12.4	13	14.3	14.9	13.8	13.6	12.3	11.6	12.9	12.8	12.9	12.5	57	55	50	46	50	47	45	47	47	46	50	56
GOODLAND	KS	USW00023065	GOODLAND	39.3669	-101.7	11.9	12.4	13.4	14.1	13.1	12.2	11.2	10.6	11.4	11.7	11.8	11.7	61	56	48	43	47	42	40	42	42	47	58	62
TOPEKA	KS	USW00013996	TOPEKA MUNI AP	39.0725	-95.6261	8.3	8.5	9.8	10	8.4	7.9	6.8	6.2	6.9	7.7	8.4	7.9	63	60	55	53	57	58	58	57	55	53	57	63
WICHITA	KS	USW00003928	WICHITA	37.6544	-97.4425	11.1	11.6	13	13.4	11.8	11.9	10.8	10.1	11	11.2	11.6	10.9	61	59	54	53	57	53	50	51	53	53	57	62
JACKSON	KY	USW00003889	JACKSON	37.5908	-83.3131	6.2	6.3	6.4	6.2	4.4	3.7	3.3	3.2	3.6	4.3	5.5	5.8	63	59	53	48	57	61	64	62	59	55	55	64
LEXINGTON	KY	USW00093820	LEXINGTON BLUEGRASS AP	38.0408	-84.6058	9.5	9.3	9.4	9.2	7.6	6.8	6.1	5.9	6.4	7.3	8.5	8.8	68	63	57	54	56	57	58	57	55	55	60	67
LOUISVILLE	KY	USW00093821	LOUISVILLE INTL AP	38.1811	-85.7392	9	9	9	9.1	7.6	7.1	6.6	6.2	6.4	7.1	8.1	8.3	64	60	55	50	54	55	56	55	54	53	58	64
PADUCAH	KY	USW00003816	PADUCAH	37.0683	-88.7719	8.4	8.5	8.9	8.4	6.8	5.8	5.3	4.7	5.1	6.2	7.5	7.8	66	62	57	53	56	56	58	56	53	52	57	65
BATON ROUGE	LA	USW00013970	BATON ROUGE RYAN AP	30.5372	-91.1469	7.2	7.7	7.6	7.6	6.5	5.7	5.1	4.8	5.3	5.5	6.2	6.7	62	60	56	55	56	59	62	61	59	54	57	62
LAKE CHARLES	LA	USW00003937	LAKE CHARLES	30.125	-93.2158	8.7	9.2	8.9	8.8	7.7	6.6	5.4	5.4	6.4	7.2	7.9	8.5	66	64	61	60	61	62	63	62	61	56	60	65
NEW ORLEANS	LA	USW00012916	NEW ORLEANS INTL AP	29.9933	-90.2511	9.1	9.4	9.2	9.3	8.1	6.7	5.9	6.1	7.2	7.9	8.4	8.8	65	63	60	59	59	63	65	65	64	59	61	65
SHREVEPORT	LA	USW00013957	SHREVEPORT	32.4506	-93.8411	8.1	8.5	8.8	8.6	7.7	6.6	6.1	5.7	6.2	6.4	7.3	7.7	62	60	56	56	58	58	56	54	55	54	58	62
CARIBOU	ME	USW00014607	CARIBOU MUNI AP	46.8706	-68.0172	8.5	8.5	9.2	8.8	8.4	7.5	6.7	6.4	7.1	7.9	8.3	8.2	66	62	59	55	52	56	58	59	60	62	70	71
PORTLAND	ME	USW00014764	PORTLAND INTL JETPORT	43.6497	-70.3003	8.2	8.6	9.4	9.2	8.3	7.5	6.9	6.7	7	7.7	7.9	8	59	57	57	54	58	61	60	59	61	59	61	61
BALTIMORE	MD	USW00093721	BALTIMORE WASH INTL AP	39.1667	-76.6833	7.9	8.3	8.8	8.5	7.3	6.7	6.3	5.8	6.3	6.5	7.2	7.4	56	53	50	48	53	52	52	55	55	54	54	57
BOSTON	MA	USW00014739	BOSTON LOGAN INTL AP	42.3606	-71.0106	12.6	12.6	12.9	12.2	11.2	10.7	10.2	10	10.4	11.3	11.7	12.3	58	56	56	55	58	58	56	58	59	57	58	58
WORCESTER	MA	USW00094746	WORCESTER RGNL AP	42.2706	-71.8731	11.4	11.6	11.4	10.7	9.9	9.2	8.8	8.3	8.8	10	10.7	11.2	61	58	55	49	52	57	57	58	60	57	60	63
ALPENA	MI	USW00094849	ALPENA CO RGNL AP	45.0717	-83.5644	8.3	8.4	8.4	8.8	7.9	6.9	6.4	6.2	6.6	7.6	8.2	8	71	65	60	53	52	54	54	58	60	62	68	73
DETROIT	MI	USW00094847	DETROIT METRO AP	42.2314	-83.3308	11.1	10.5	10.4	10.4	9.2	8.5	7.9	7.4	7.7	9.2	10.4	10.5	69	64	58	53	53	54	53	56	56	57	64	70
FLINT	MI	USW00014826	FLINT BISHOP INTL AP	42.9667	-83.7494	10.4	10.2	10.2	10.3	9.1	8	7.3	6.9	7.5	8.9	9.9	9.8	72	67	61	54	53	55	54	57	57	59	66	72
GRAND RAPIDS	MI	USW00094860	GRAND RAPIDS	42.8939	-85.5447	10.8	10.6	10.6	10.8	9.5	8.5	7.9	7.4	7.8	9.2	10.2	10.4	73	68	61	55	53	55	55	58	59	61	68	74
HOUGHTON LAKE	MI	USW00094814	HOUGHTON LK ROSCOMMON AP	44.3592	-84.6739	8.7	8.5	8.5	9.3	8.5	7.5	6.8	6.7	7.1	8.3	9	8.8	73	67	60	53	50	54	54	58	61	64	71	76
LANSING	MI	USW00014836	LANSING CAPITAL CITY AP	42.7803	-84.5789	10.5	10.2	10.1	10.2	9	7.9	7.2	6.7	7.1	8.6	9.9	10.1	73	68	62	56	54	55	55	58	59	60	67	74
MUSKEGON	MI	USW00014840	MUSKEGON CO AP	43.1711	-86.2367	11.4	10.9	10.6	10.7	9.4	8.5	8.1	7.8	8.3	9.9	11.2	11.1	75	70	63	56	55	58	58	61	61	63	69	75
SAULT STE. MARIE	MI	USW00014847	SAULT STE MARIE SANDERSON FLD	46.4794	-84.3572	7.9	8	8.2	8.7	8.1	7.1	6.7	6.6	7	7.9	8.6	8.1	73	69	64	58	54	60	61	63	65	67	74	76
DULUTH	MN	USW00014913	DULUTH	46.8369	-92.2097	10.6	10.5	10.6	11.1	10.4	9.3	8.5	8.5	9.5	10.4	10.6	10.4	70	66	63	56	54	60	60	62	64	63	70	74
INTERNATIONAL FALLS	MN	USW00014918	INTL FALLS INTL AP	48.5614	-93.3981	7.8	7.9	8.3	8.6	8.3	7.4	6.6	6.5	7.3	8.1	8.1	7.6	70	64	59	51	50	57	58	60	63	64	72	75
MINNEAPOLIS-ST.PAUL	MN	USW00014922	MINNEAPOLIS/ST PAUL AP	44.8831	-93.2289	9.6	9.6	10.2	11.2	10.2	9.5	8.7	8.4	9.3	9.9	9.9	9.4	68	65	61	51	51	54	54	56	58	58	65	71
ROCHESTER	MN	USW00014925	ROCHESTER INTL AP	43.9042	-92.4917	13.5	13.2	13.3	13.7	12.6	11.2	9.7	9.2	10.5	11.9	13.2	13.1	74	72	68	57	56	58	60	62	60	59	69	76
